soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
alcool	whiskey	N	alcool,băutură_alcoolică	whiskey,whisky	băutură ce conține alcool	Băutură cu un mare procent de alcool obținută prin distilarea cerealelor în condiții speciale	3.0	4.82
gură	dinte	N	gură	dinte	deschizătura circulară de la capătul țevii unei arme de foc, prin care iese glonțul	Capăt, extremitate (ascuțită) a unui lucru.	2.19	2.92
baie	dormitor	N	baie	cameră_de_culcare,dormitor	Clădire cu instalații speciale de îmbăiere; (prin restringere) încăpere special amenajată pentru îmbăiere.;	Cameră de dormit (într-o locuință particulară, într-o școală, într-o cazarmă etc.)	3.0	1.1
farfurie	castron	N	farfurie	castron	Obiect de faianță, de porțelan etc., de obicei de formă rotundă, cu marginile puțin ridicate și cu fundul plat sau adâncit, în care se servește mâncarea	Vas adânc în care se aduc la masă unele mâncăruri.	2.19	2.95
carne	șuncă	N	carne	șuncă	Bucată din țesutul muscular al animalelor tăiate, întrebuințată ca aliment.	Produs alimentar obținut din pulpă de porc preparată prin sărare și afumare sau fierbere cu mijloace tehnice speciale; șuncă	2.68	4.47
aer	heliu	N	aer	heliu	Amestec de gaze care alcătuiesc straturile inferioare ale atmosferei și care este absolut necesar vietăților aerobe.	Element chimic din familia gazelor nobile, rar, inert, incolor și inodor, cel mai ușor dintre gazele din atmosferă, utilizat la umplerea baloanelor dirijabile, fiind neinflamabil	2.68	2.9
muncitor	angajator	N	lucrător,muncitor	angajator	persoană care desfășoară o muncă	Proprietar al unei întreprinderi care angajează muncitori.	2.68	1.7
corp	piept	N	corp,trunchi,tors	piept,torace	parte superioară a corpului uman, fără cap și fără membre	Cavitate în corpul vertebratelor cuprinsă între gât și abdomen, care conține principalele organe ale sistemelor circulator și respirator	3.0	2.17
fiu	tată	N	fiu	taică,tată	(figurativ) Cetățean, membru al unei colectivități (de care acesta se simte foarte atașat).	Bărbat care are copii	2.19	1.85
inimă	chirurgie	N	inimă,suflet	chirurgie	(figurativ) Inima considerată ca sediu al sentimentelor umane	Ramură a medicinii care tratează bolile cu ajutorul operațiilor.	1.3	1.95
femeie	secretară	N	femeie,muiere	secretară,secretar	Persoană adultă de sex feminin.	persoană care conduce secretariatul într-o întreprindere sau într-o instituție, lucrând pe lângă conducerea instituției sau întreprinderii respective	2.42	2.17
bărbat	tată	N	bărbat,gospodar,soț	taică,tată	bărbat căsătorit considerat în raport cu soția lui	Bărbat care are copii	2.19	3.77
plajă	insulă	N	plajă	insulă	Porțiune de teren, acoperită cu nisip fin, de la baza unei faleze sau de pe panta lină dinspre mare a unui cordon litoral	Întindere de pământ înconjurată din toate părțile de apă, situată fie într-un ocean, mare sau lac, fie în cadrul albiei unei ape curgătoare.	2.42	3.05
poveste	subiect	N	poveste	intrigă,acțiune,subiect	(prin extensiune) narațiune cuprinzând fapte posibile sau reale.	Schemă generală de fapte și de acțiuni care reprezintă subiectul unor opere literare.	3.42	2.98
joc	distracție	N	joc	amuzament,distracție,divertisment	activitate distractivă;	petrecere ușoară, agreabilă și de scurtă durată	3.42	5.07
weekend	săptămână	N	weekend	săptămână	Timpul liber de la sfârșitul săptămânii.	perioadă de șapte zile consecutive	3.0	2.37
cuplu	pereche	N	cuplu,pereche	cuplu,pereche	Grup format din două exemplare din același fel de obiecte.	Grup format din două exemplare din același fel de obiecte.	4.0	8.93
femeie	soție	N	femeie,muiere	nevastă,soție	Persoană adultă de sex feminin	Femeie măritată consideratăîn raport cu bărbatul ei	3.42	4.9
oaie	cireadă	N	oaie	cireadă	Animal domestic rumegător, crescut pentru lână, lapte și carne; (prin specializare) femela acestei specii.	Grup numeros de animale cornute mari.	2.68	1.82
poșetă	geantă	N	geantă,poșetă	geantă,poșetă	geantă mică de piele etc. în care femeile își țin diferitele obiecte mărunte de toaletă etc.	geantă mică de piele etc. în care femeile își țin diferitele obiecte mărunte de toaletă etc.	4.0	8.18
tavan	catedrală	N	bagdadie,plafon,tavan	catedrală	Suprafață interioară a planșeului superior al unei încăperi	Biserică (mare) în care serviciu religios este oficiat, de obicei, de un (arhi) episcop	1.54	0.92
bob	cafea	N	bob	bob_de_cafea,cafea	sămânța plantei bob	(Cu sens colectiv) Sămânța arborelui de cafea	2.68	2.38
lemn	hârtie	N	lemn	hârtie	țesut conducător al unor plante superioare, alcătuit din trahee, parenchim și fibre cu ligatură	Produs industrial special pentru scris, tipărit, desenat, împachetat etc., fabricat din substanțe organice vegetale și materiale de încheiere și de colorare, în formă de foi subțiri și întinse.;	2.68	1.95
infracțiune	fraudă	N	delict,infracțiune,fărădelege	fraudă	Faptă care prezintă pericol, constând în încălcarea unei legi penale, în săvârșirea, cu vinovăție, a unei abateri de la legea penală, și care este sancționată de lege	act intenționat de rea-credință, ce produce lezări cuiva	3.42	7.38
durere	daună	N	durere	daună,prejudiciu	simptom de discomfort fizic	pagubă, daună materială, morală adusă cuiva	1.83	2.42
iubit	companion	N	amorez,drăguț,iubit,ibovnic	însoțitor,companion,tovarăș	Persoană care iubește sau este iubită	Epitet dat unei ființe (de obicei animal) care însoțește pe cineva (în mod constant)	2.68	4.4
seară	amurg	N	seară	amurg,înserare	interval de timp cuprins între sfârșitul zilei și momentul când cineva își încheie activitatea, se duce la culcare	Semiîntuneric care se lasă după apusul soarelui și ține până la venirea nopții	1.19	6.82
tată	fiică	N	taică,tată	fiică	Bărbat care are copii	Persoană de sex feminin, considerată în raport cu părinții săi; fată	1.83	1.7
vin	lichior	N	vin	lichior	Băutură alcoolică (de 7-16 %) obținută prin fermentarea mustului de struguri sau, (prin generalizare), prin fermentarea altor fructe.	Băutură alcoolică preparată din spirt, sirop de zahăr și esențe aromatice.	3.0	1.98
vacă	capră	N	vacă	capră	femela bovinelor domestice	femela unui gen de mamifere rumegătoare paricopitate, cu părul lung, cu coarne, mai mari și diferențiale la masculi	2.42	1.38
credință	opinie	N	credință,gând,impresie,opinie,părere,sentiment,senzație	credință,gând,impresie,opinie,părere,sentiment,senzație	o credință personală care nu se bazează pe realități obiective	o credință personală care nu se bazează pe realități obiective	4.0	3.52
realitate	iluzie	N	lume,realitate	închipuire,iluzie,nălucire,părere	totalitatea experiențelor cuiva care determină modul de percepere a realității înconjurătoare; " trăim în lumi diferite "	închipuire fără o bază reală, amăgire	2.19	0.25
pact	înțelegere	N	acord,înțelegere,învoială,pact,tranzacție	acord,înțelegere,învoială,pact,tranzacție	Înțelegere (scrisă) între două părți	Înțelegere (scrisă) între două părți	4.0	8.55
bunăstare	sărăcie	N	bunăstare,prosperitate,bogăție,belșug	lipsă,mizerie,nevoie,sărăcie	starea de a fi bogat, de a avea o cantitate foarte mare de bani și de bunuri materiale.	stare de extremă sărăcie, situație nenorocită, vrednică de plâns	3.0	0.15
accident	urgență	N	accident,întâmplare,hazard	urgență	Fapt întâmplător, fără o cauză aparentă	Situație neprevăzută care necesită o rezolvare urgentă.	2.42	2.95
bătălie	cucerire	N	bătălie,efort,luptă	cucerire,ocupație,ocupare	Străduință depusă de cineva pentru a învinge o greutate, o nevoie sau pentru a se apăra.;	acțiunea de a cuceri	2.0	3.4
prieten	profesor	N	amic,prieten	dascăl,profesor	Persoană de care cineva este legat printr-o afecțiune deosebită, bazată pe încredere și stimă reciprocă, de ideii sau principii comune	(prin generalizare) Persoană care îndrumă, educă, învață pe cineva.	2.19	1.23
boală	infecție	N	afecțiune,boală,maladie	infecție	Modificare organică sau funcțională a echilibrului normal al organismului; proces patologic care afectează organismul	stare patologică rezultată din invazia în organism a microorganismelor patogene	2.68	4.87
joc	șmecherie	N	joc	șiretlic,mizerie,șmecherie	Concurs cu reguli care determină un învingător	(la pl.) comportament viclean folosit în viața politică sau comercială prin care este discreditat un oponent	2.68	1.92
frate	fiu	N	frate	fiu	persoană considerată în raport cu altă persoană născută din aceiași părinți sau numai din același tată ori din aceeași mamă	(figurativ) Cetățean, membru al unei colectivități (de care acesta se simte foarte atașat).	2.68	1.48
mătușă	nepot	N	mătușă,tanti	nepot	sora tatălui sau a mamei unei persoane; (mai rar) verișoara unuia dintre părinți sau soția unchiului	Persoană considerată în raport cu bunicii săi ori cu unchii și mătușile sale	2.42	1.85
muncitor	mecanic	N	lucrător,muncitor	mașinist,mecanic	persoană care desfășoară o muncă	Persoană care conduce o mașină, supraveghează funcționarea ei, o repară etc.	2.68	3.05
doctor	ortodont	N	doctor,medic	ortodont,ortodentist	Persoană care profesează medicina pe baza unor studii superioare de specialitate	Dentist specializat în corectarea iregularităților dinților	3.0	4.62
stejar	arțar	N	stejar	arțar	lemnul rezistent și dur al arborelui descris mai sus	lemn de arțar	3.0	2.73
albină	matcă	N	albină	matcă,regină	Insectă din familia apidelor, cu aparatul bucal adaptat pentru supt și lins, iar cu picioarele posterioare pentru strângerea polenului, cu abdomenul prevăzut cu un ac veninos, și care trăiește în familii, producând miere și ceară	Singura femelă fertilă dintr-o colonie de insecte	2.68	4.53
mașină	bicicletă	N	locomotivă,mașină	bicicletă	Vehicul motor de cale ferată, cu sursă de energie proprie sau străină, folosind pentru a remorca și a deplasa vagoanele.	Vehicul cu două roți pus în mișcare prin două pedale acționate cu picioarele și folosit, de obicei, pentru transportul unei singure persoane.	2.68	1.17
scop	căutare	N	finalitate,scop	urmărire,căutare	Scop în vederea căruia are loc o activitate.	Urmărire a unui scop, a unui țel, a unui ideal.	2.0	3.2
august	lună	N	august,gustar	lună,lună_calendaristică	A opta lună a anului	(Astron.) Interval de timp egal cu fiecare dintre cele 12 diviziuni ale anului calendaristic, cu o durată de 28 până la 31 de zile	3.0	3.08
armată	pluton	N	armată,unitate_militară	pluton	Totalitatea forțelor militare ale unui stat	Subunitate militară mai mică decât compania, alcătuită din trei sau patru grupe	3.0	4.93
nor	vreme	N	nor	vreme	(Mai ales la pl.) Masă (delimitată) de vapori sau de picături de apă, de cristale de gheață aflate în suspensie în atmosferă.	Stare a atmosferei la un moment dat și într-un anumit loc, determinată prin totalitatea elementelor meteorologice.	3.0	2.3
medic	doctor	N	doctor,doftor,medic	doctor,doftor,medic	Persoană cu studii superioare care se ocupă cu vindecarea, tratarea sau prevenirea bolilor umane și animale.	Persoană cu studii superioare care se ocupă cu vindecarea, tratarea sau prevenirea bolilor umane și animale.	4.0	9.25
canion	vale	N	canion	vale	vale îngustă și adâncă, între doi pereți verticali, săpată de apa unui râu	Depresiune, adâncitură de teren alungită, străbătută (permanent sau vremelnic) de o apă curgătoare	3.0	5.97
soare	cer	N	soare	boltă_cerească,boltă,cer,firmament	Corpul ceresc care este sursă de lumină și căldură pentru planetele din sistemul său solar.	Spațiu cosmic nesfârșit în care se află aștrii	1.92	2.48
țintă	săgeată	N	țintă	săgeată	Echipament sportiv în care trage arcașul	Vergea de lemn, la un capăt cu un vârf ascuțit (de fier, os, piatră), iar la celălalt cu două aripioare înguste, care se folosea în trecut (la unele populații și astăzi) ca proiectil de vânătoare sau de luptă, aruncată dintr-un arc încordat	2.0	2.62
ciocolată	plăcintă	N	ciocolată	plăcintă	Preparat comestibil făcut dintr-un amestec solidificat de pulbere de cacao și de zahăr (cu adaos de ingrediente)	Preparat de patiserie făcut din foi de aluat între care se pune o umplutură de brânză, de carne, de fructe etc.	2.42	1.17
circumstanță	situație	N	circumstanță,condiție	caz,situație	condiție care însoțește sau influențează un eveniment sau o activitate	mulțime de circumstanțe	3.42	8.37
opinie	alegere	N	credință,gând,impresie,opinie,părere,sentiment,senzație	alegere,ales,selectat	o credință personală care nu se bazează pe realități obiective	Deosebit dintre alții sau dintr-un tot	1.83	4.25
ritm	melodie	N	rată,ritm	armonie,melodie,muzicalitate,sonoritate	Viteza relativă de desfășurare.	Îmbinare melodioasă a mai multor sunete (în muzică sau în poezie)	2.68	3.68
curaj	tupeu	N	bravură,curaj,cutezanță,încumetare,îndrăzneală	obrăznicie,tupeu	Forța morală de a se încumeta la noi aventuri	Îndrăzneală, cutezanță care întrece limita cuvenită	2.68	6.53
zi	zori	N	zi	zori	(Astron.) Interval de timp între două culminații succesive ale unui astru	(la pl.) începutul unei perioade de timp, al unei epoci	3.0	4.37
cireadă	vită	N	cireadă	vită	Grup numeros de animale cornute mari.	Animale care sunt crescute pentru carne	3.42	3.3
doctor	profesor	N	doctor,medic	dascăl,profesor	Persoană care profesează medicina pe baza unor studii superioare de specialitate	(prin generalizare) Persoană care îndrumă, educă, învață pe cineva.	2.42	2.55
braț	venă	N	braț,mână	vână,venă	Segment cuprins între cot și umăr al membrului superior al corpului omenesc; partea de la umăr până la încheietura mâinii	Vas sanguin de diferite mărimi, care duce sângele de la organe și țesuturi la inimă;	1.54	1.95
cameră	baie	N	cameră	baie	Nume dat unor încăperi cu destinație specială.	Clădire cu instalații speciale de îmbăiere; (prin restringere) încăpere special amenajată pentru îmbăiere.;	3.0	1.95
corporație	afacere	N	breaslă,corporație	întreprindere,afacere,firmă	(în S.U.A. și alte țări) societate pe acțiuni	Tranzacție financiară, comercială sau industrială	3.0	4.57
distracție	fotbal	N	amuzament,distracție,divertisment	fotbal	petrecere ușoară, agreabilă și de scurtă durată	Joc sportiv cu mingea între două echipe de câte 11 jucători, fiecare dintre jucători căutând să introducă mingea în poarta celeilalte echipe, lovind-o cu piciorul sau cu oricare altă parte a corpului, în afară de mâini.	2.42	2.02
deal	stâncă	N	deal	stâncă,stană	Formă de relief pozitivă care se prezintă ca o ridicătură a scoarței pământului mai mică decât muntele, dar mai mare decât colina.	Bloc mare de piatră (în munți), de obicei cu pereții drepți și colțuroși.	2.68	1.32
os	gleznă	N	os	gleznă	Element de bază al scheletului vertebratelor, caracterizat prin structura lui dură, solidă și rezistentă, de culoare albă	Parte a piciorului unor animale cuprinsă între fluier și chișiță.	2.0	2.05
măr	bomboană	N	măr	bomboană	Fruct al mărului, de formă rotundă-turtită și de diferite culori	Produs de cofetărie fabricat din sirop de zahăr aromatizat, ciocolată etc., având culori, gust și forme diferite (mici bile, mici bastonașe etc.)	1.3	0.38
ajutor	slujnică	N	ajutor	fată_în_casă,slujnică	Persoană care contribuie la realizarea unui scop	Femeie angajată pentru a munci în familia sau în gospodăria altuia	2.42	4
conducător	manager	N	conducător,șef,bos	manager,director_general	personaj învestit cu responsabilitate și autoritate	persoană care controlează resursele și cheltuielile	3.0	6.28
lămâie	ceai	N	lămâie	ceai	Fructul lămâiului, de formă sferică alungită, cu coaja galbenă, aromată și cu miezul acru, bogat în vitamine.	Băutură obținută prin macerația, infuzia sau decocția frunzelor de ceai sau a unor plante medicinale.	1.54	1.92
albină	furnică	N	albină	furnică	Insectă din familia apidelor, cu aparatul bucal adaptat pentru supt și lins, iar cu picioarele posterioare pentru strângerea polenului, cu abdomenul prevăzut cu un ac veninos, și care trăiește în familii, producând miere și ceară	insectă care face parte din grupul de insecte din ordinul himenopterelor, de talie mică sau mijlocie, negre sau roșii, care trăiesc în colonii	3.0	1.53
baschet	baseball	N	baschet,baschetbal	baseball	Joc sportiv disputat între două echipe de câte cinci jucători, care marchează punctele făcând să treacă mingea prin coșul de sfoară împletită fixat de un panou înalt pe terenul echipei adverse.	joc sportiv (la americani) între două echipe a câte 9 jucători, asemănător cu oina	2.42	2.05
orez	fasole	N	orez	fasole	. Plantă alimentară din familia gramineelor, cu tulpina dreaptă, cu frunze liniare alungite și cu spice mici, cultivată în terenuri umede pentru fructele ei cu semințe foarte hrănitoare, bogate în amidon	Plantă erbacee anuală din familia leguminoaselor, cu frunzele compuse din trei foliole mari, păroase, cu flori albe, albe-verzui, roz sau roșii, cultivată pentru păstăile și pentru semințele sale, folosite în alimentație	2.0	1.23
pat	mobilă	N	pat	mobilă,mobilier	Mobilă de lemn sau de metal, prevăzută de obicei cu somieră sau cu saltea	Totalitatea mobilelor dintr-o încăpere, dintr-o locuință, dintr-o clădire	3.0	2.73
emoție	pasiune	N	emoție	pasiune	Reacție afectivă de intensitate mijlocie și de durată relativ scurtă, însoțită adesea de modificări în activitățile organismului, oglindind atitudinea individului față de realitate	Dragoste puternică față de o persoană (de sex opus).	3.0	4.93
anarhie	haos	N	anarhie	babilonie,dezordine,haos,zăpăceală,debandadă	Stare de dezorganizare, de dezordine, de haos într-o țară, într-o instituție etc.	Stare generală de mare confuzie, de dezordine mare, învălmășeală, neorganizare.	2.68	6.53
infracțiune	violare	N	delict,infracțiune,fărădelege	încălcare,violare	Faptă care prezintă pericol, constând în încălcarea unei legi penale, în săvârșirea, cu vinovăție, a unei abateri de la legea penală, și care este sancționată de lege	Acțiunea de a nesocoti o înțelegere sau un drept.	2.68	5.75
mașină	motor	N	mașină	motor	dispozitiv mecanic sau electric care transmite sau transformă energia	Mașină de forță care transformă o formă de energie oarecare în energie mecanică (pentru acționarea altei mașini, a unui vehicul etc.)	3.42	2.92
plajă	mare	N	plajă	mare,mare_lunară	Porțiune de teren, acoperită cu nisip fin, de la baza unei faleze sau de pe panta lină dinspre mare a unui cordon litoral	regiune întunecată de mari dimensiuni de pe suprafața Lunii	2.19	4.18
culoar	bilă	N	coridor,culoar,gang,galerie	bilă	Loc de trecere îngust (și lung), care leagă încăperile unei clădiri și din care se intră în camerele aceluiași apartament sau ale aceluiași etaj	Sferă (de mici dimensiuni) fabricată din diferite materiale și întrebuințată în diverse scopuri (ca rulmenți, la unele jocuri de copii, la jocul de popice, ca modalitate de vot etc.)	2.19	0.78
borcan	sticlă	N	borcan	butelie,sticlă	Vas (cilindric) de sticlă, folosit pentru păstrarea conservelor, a preparatelor farmaceutice etc	Vas înalt (de formă cilindrică), cu gât îngust, făcut din sticlă, care servește la păstrarea lichidelor	3.0	2.58
tărie	capacitate	N	eficacitate,putere,tărie	capacitate,potențial	capacitatea de a produce efecte fiziologice și chimice puternice	Capacitate de muncă, de producție, de acțiune	2.19	3.52
sămânță	muștar	N	sămânță	muștar	Fruct mic și dur.	Condiment sub formă de pastă moale, de culoare galbenă-verzuie, obținut prin prelucrarea semințelor de muștar cu adaos de zahăr, sare, acid acetic, cimbru etc.	2.0	1.13
chitară	tobă	N	chitară	tobă	instrument muzical cu coarde, care emite sunete prin ciupire sau lovire cu degetele	Instrument muzical de percuție, format dintr-un cilindru scurt, larg și gol, de lemn sau de metal, pe fundul căruia este întinsă câte o membrană din piele, care, lovită (cu două baghete), produce sunete.	2.42	1.53
opinie	idee	N	opinie,părere,idee,punct_de_vedere	opinie,părere,idee,punct_de_vedere	Mesaj prin care se exprimă credința în legătură cu ceva.	Mesaj prin care se exprimă credința în legătură cu ceva.	4.0	5.7
nord	vest	N	miazănoapte,nord	apus,vest	Unul dintre cele patru puncte cardinale, aflat în direcția stelei polare	Unul dintre cele patru puncte cardinale, opus estului	3.0	1.17
dietă	salată	N	dietă	salată	Alimentația obișnuită a unui om sau animal	Preparat culinar făcut din anumite legume fierte sau crude, cu adaos de oțet, zeamă de lămâie și untdelemn, care se servește ca aperitiv sau ca garnitură.	2.19	2.3
mamă	soție	N	maică,mamă	nevastă,soție	Femeie considerată în raport cu copiii ei (de asemenea numele pe care i-l dau copiii acestei femei când i se adresează sau când vorbesc despre dânsa)	Femeie măritată consideratăîn raport cu bărbatul ei	2.19	3.52
tată	mamă	N	taică,tată	maică,mamă	Bărbat care are copii	Femeie considerată în raport cu copiii ei (de asemenea numele pe care i-l dau copiii acestei femei când i se adresează sau când vorbesc despre dânsa)	3.0	2.67
căpitan	marinar	N	căpitan	marinar,matroz,lup_de_mare	(Urmat uneori de determinările " de vas ", " de șlep ", " de remorcher ") Comandant al unei nave militare, comerciale sau de pasageri.	soldat din serviciul marinei militare, soldat de marină	3.0	3.8
metru	yard	N	metru	pas,yard,iard	Unitate fundamentală de măsură pentru lungime din sistemul metric.	măsură engleză de lungime, egală cu 0,9144 m	2.68	3.9
bere	șampanie	N	bere	vin_spumos,șampanie	Băutură alcoolică slabă obținută prin fermentarea unei infuzii rezultate din fierberea în apă a malțului și a florilor de hamei.	Vin alb, spumos, obținut prin refermentarea vinurilor de masă alb și roz în sticle închise ermetic.	2.42	1.73
motor	barcă	N	motor	barcă	Mașină de forță care transformă o formă de energie oarecare în energie mecanică (pentru acționarea altei mașini, a unui vehicul etc.)	Ambarcație mică pentru călătoria pe apă	1.68	2.27
știință	psihologie	N	știință,disciplină	psihologie	Ramură a unei științe;	știință care se ocupă cu studiul proceselor și particularităților psihice	3.42	3.2
păcătos	sfânt	N	păcătos	sfânt	(Adesea substantivat) Care are multe păcate, care se face vinovat de călcarea unor norme	Om care duce o viață curată și cucernică	2.19	0.15
distrugere	construcție	N	distrugere	construcție,construire	Un eveniment care distruge ceva	Faptul de a construi.;	1.68	0.22
mulțime	gașcă	N	gloată,grămadă,mulțime,stol	gașcă	Număr mare de oameni strânși la un loc	denumire dată unui grup de prieteni	3.0	5.67
plajă	recif	N	plajă	recif	Porțiune de teren, acoperită cu nisip fin, de la baza unei faleze sau de pe panta lină dinspre mare a unui cordon litoral	(Geol.) Formație de stânci submarine, clădite de organisme (corali, alege etc.) care trăiesc sub formă de colonii în apele mărilor calde și care secretează carbonat de calciu	2.42	1.52
bărbat	copil	N	bărbat	copil	Persoană adultă de sex masculin.	Un individ al speciei umane (indiferent de vârstă) văzut prin prisma faptului ca este fiul sau fiica unor părinți	3.0	0.92
pâine	brânză	N	pâine,pită	brânză	Aliment de bază al omului, preparat dintr-un aluat de făină (de grâu, de secară etc.) și ingrediente, afânat prin fermentația drojdiei, frământat cu apă și copt în cuptor.	Produs alimentar obținut prin coagularea și prelucrarea laptelui	2.68	0.92
campion	câștigător	N	campion	învingător,câștigător	Persoană, echipă etc. care cucerește primul loc într-o competiție sportivă (națională, internațională, mondială, olimpică).	(Persoană) care a obținut un câștig material, o superioritate asupra alteia într-o întrecere (în muncă, în sport etc.) sau într-o luptă	2.68	8.75
sărbătorire	ceremonie	N	aniversare,celebrare,sărbătorire	ceremonie,ceremonial	o ocazie pentru festivități speciale cu scopul de a marca un eveniment fericit	Eveniment protocolar care are loc la ocazii speciale. " Ceremonia decernării premiilor Oscar s-a terminat "	3.0	7.2
rege	prințesă	N	cap_încoronat,monarh,rege,suveran	prințesă,principesă	Suveranul unui regat, persoană care deține puterea supremăîntr-un regat	Fiică a unui rege, a unui principe, a unui împărat.	2.19	2.27
bunăstare	prestigiu	N	bunăstare,prosperitate,bogăție,belșug	prestigiu	starea de a fi bogat, de a avea o cantitate foarte mare de bani și de bunuri materiale.	Statut pe care cineva îl are în ochii celorlalți	2.19	2.9
rezistență	tărie	N	rezistență	tărie,vigoare,vitalitate	forța de a rezista, de a face față unei greutăți, suferinței, stres foarte mare	putere de viață, vigoare vitală	3.0	7.45
pericol	amenințare	N	amenințare,primejdie,pericol	amenințare,primejdie,pericol	ceea ce reprezintă o sursă de pericol	ceea ce reprezintă o sursă de pericol	4.0	8.15
dumnezeu	preot	N	divinitate,dumnezeu,idol,zeitate,zeu	preot	Orice ființă supranaturală care este venerată, controlează o parte a lumii sau este o personificare a unei forțe	lider spiritual al unei religii necreștine	1.83	1.8
tovarăș	companion	N	însoțitor,companion,tovarăș	însoțitor,companion,tovarăș	Epitet dat unei ființe (de obicei animal) care însoțește pe cineva (în mod constant)	Epitet dat unei ființe (de obicei animal) care însoțește pe cineva (în mod constant)	4.0	6.35
profesor	ajutor	N	dascăl,profesor	ajutor	(prin generalizare) Persoană care îndrumă, educă, învață pe cineva.	Persoană care contribuie la realizarea unui scop	2.0	2.63
corp	stomac	N	corp,trunchi,tors	stomac	parte superioară a corpului uman, fără cap și fără membre	Parte a aparatului digestiv, la om și la animalele superioare, în formă de pungă, situată între esofag și duoden, în care se face digestia alimentelor	2.42	1.88
limbă	gâtlej	N	limbă	înghițitoare,beregată,gâtiță,gâtlej	Organ musculos mobil care se află în gură, servind la perceperea gustului, la mestecarea și la înghițirea alimentelor, la om fiind și organul principal de vorbire	partea interioară a gâtului (1) cuprinzând faringele cu esofagul și laringele cu traheea	2.0	1.8
casă	covor	N	casă	covor	Masă, pupitru sau birou într-un magazin, unde se achită costul cumpărăturilor	Țesătură groasă de lână, de bumbac etc. (cu figuri și desene de diferite culori), folosită pentru împodobirea încăperilor.	2.19	1.03
inteligență	abilitate	N	inteligență,pricepere,minte	abilitate,destoinicie	Capacitatea de a înțelege ușor și bine, de a sesiza ceea ce este esențial, de a rezolva situații sau probleme noi pe baza experienței acumulate anterior	calitatea de a fi în stare să facă ceva	1.83	5.1
călătorie	cucerire	N	călătorie,drum,plecare	cucerire,ocupație,ocupare	Acțiunea de a călători	acțiunea de a cuceri	1.83	1.1
zeu	pradă	N	divinitate,dumnezeu,idol,zeitate,zeu	captură,pradă	Orice ființă supranaturală care este venerată, controlează o parte a lumii sau este o personificare a unei forțe	Cantitatea de lucruri sau vietăți prinse	1.54	0.25
frate	suflet	N	frate	suflet	persoană considerată în raport cu altă persoană născută din aceiași părinți sau numai din același tată ori din aceeași mamă	Substanță spirituală care dă omului viață și care este socotită de origine divină și cu esență veșnică	2.0	1.32
adversar	oponent	N	adversar,concurent,rival	oponent,opozant	participant într-o competiție, pe care speri să-l învingi	persoană care își exercită dreptul de opoziție	2.68	9
moarte	catastrofă	N	deces,dispariție,moarte,pieire,prăpădire,răposare,sucombare	cataclism,catastrofă	Încetare a vieții, oprire a tuturor funcțiilor vitale.	Schimbare bruscăîn caracterul și în condițiile naturii și ale vieții pe pământ, sub influența unor procese atmosferice, tectonice sau vulcanice nimicitoare.	2.42	3.77
monstru	demon	N	dihanie,monstru,pocitanie	aghiuță,demon,diavol,drac,încornoratul,naiba,necuratul,satană	Ființă mitologică cu corpul format din părți ale unor animale diferite sau din unele părți de om și altele de animal.;	Ființă imaginară de sex masculin, considerată drept întruchipare a spiritului rău	1.3	6.03
zi	dimineață	N	zi	dimineață	(Astron.) Interval de timp între două culminații succesive ale unui astru	partea de la început a zilei (din zori până la prânz)	3.0	3.47
bărbat	învingător	N	bărbat	câștigător,învingător	Persoană adultă de sex masculin.	(Persoană) care a obținut un câștig material, o superioritate asupra alteia într-o întrecere (în muncă, în sport etc.)	3.0	1
prieten	tip	N	iubit,prieten	tip	Persoană care este în relații de dragoste cu o persoană de sex opus	Băiat sau bărbat	3.0	2.38
cântec	poveste	N	cântec	istorisire,narațiune,poveste,povestire	Compoziție muzicală scurtă însoțită de versuri.	Expunere, relatarea unui fapt, a unui eveniment sau a mai multor fapte sau evenimente; realizată în scris, ca parte a unei piese de teatru sau a unui film, sau ca program de radio sau de televiziune	2.0	1.23
tip	mascul	N	tip,fel,soi	mascul,parte_bărbătească	categorie de oameni	Animal de sex bărbătesc.;	2.42	4.93
pui	orez	N	progenitură,pui	orez	Orice animal neajuns la maturitate	. Plantă alimentară din familia gramineelor, cu tulpina dreaptă, cu frunze liniare alungite și cu spice mici, cultivată în terenuri umede pentru fructele ei cu semințe foarte hrănitoare, bogate în amidon	1.54	0.75
cutie	lift	N	cutie	ascensor,lift	Obiect de lemn, de metal, de carton etc. în formă de cub, de paralelipiped etc., gol în interior, în care se păstrează sau care protejează diverse lucruri.;	Cabină sau platformă cu ajutorul căreia se transportă, pe linie verticală, mărfuri sau persoane (în clădirile cu mai multe etaje).	2.19	0.85
apartament	mobilă	N	apartament	mobilă,mobilier	Locuință (într-o casă mai mare) compusă din mai multe camere (și dependințe)	Totalitatea mobilelor dintr-o încăpere, dintr-o locuință, dintr-o clădire	2.0	1.63
lac	mlaștină	N	lac	mlaștină,mocirlă,smârc	Întindere mai mare de apă stătătoare, închisă între maluri, uneori cu scurgere la mare sau la un râu.	Depresiune naturală de teren fără scurgere, în care se adunăși stagnează apa provenită din precipitații, din inundații sau din pânza freatică	2.28	3.08
